full_name,stars,forks,language,description,topics,updated_at,license,html_url,matched_queries_count,llm_analysis,is_relevant,reason
temporal-community/temporal-ai-agent,569,144,Python,This demo shows a multi-turn conversation with an AI agent running inside a Temporal workflow.,,2025-12-09T22:48:54Z,MIT,https://github.com/temporal-community/temporal-ai-agent,3,"{'is_relevant': True, 'reason': 'The repository demonstrates a multi-turn interaction with an AI agent within a Temporal workflow, indicating that it focuses on a specific application involving multiple interacting agents.'}",True,"The repository demonstrates a multi-turn interaction with an AI agent within a Temporal workflow, indicating that it focuses on a specific application involving multiple interacting agents."
ag2ai/fastagency,524,60,Python,The fastest way to bring multi-agent workflows to production.,"autogen, llm, mesop, multiagent",2025-12-10T07:07:27Z,Apache-2.0,https://github.com/ag2ai/fastagency,3,"{'is_relevant': True, 'reason': 'The repository implements a multi-agent workflow for production, suggesting an application involving multiple interacting agents leveraging LLMs.'}",True,"The repository implements a multi-agent workflow for production, suggesting an application involving multiple interacting agents leveraging LLMs."
zhsama/claude-sub-agent,514,90,,AI-driven development workflow system built on Claude Code Sub-Agents.,"agent, claude-code, multi-agent-system, workflow",2025-12-10T22:20:47Z,,https://github.com/zhsama/claude-sub-agent,1,"{'is_relevant': True, 'reason': 'The repository implements an AI-driven development workflow system that utilizes multiple agents to facilitate interactions, thus qualifying as a Multi-Agent System leveraging LLMs.'}",True,"The repository implements an AI-driven development workflow system that utilizes multiple agents to facilitate interactions, thus qualifying as a Multi-Agent System leveraging LLMs."
FinStep-AI/ContestTrade,479,127,Python,A Multi-Agent Trading System Based on Internal Contest Mechanism,,2025-12-07T23:03:39Z,Apache-2.0,https://github.com/FinStep-AI/ContestTrade,3,"{'is_relevant': True, 'reason': 'The repository implements a Multi-Agent Trading System that leverages multiple interacting agents, aligning with the criteria for relevance.'}",True,"The repository implements a Multi-Agent Trading System that leverages multiple interacting agents, aligning with the criteria for relevance."
Skytliang/Multi-Agents-Debate,475,54,Python,MAD: The first work to explore Multi-Agent Debate with Large Language Models :D,"chatgpt, gpt-4, large-language-models, llms, nlp",2025-12-10T11:29:51Z,GPL-3.0,https://github.com/Skytliang/Multi-Agents-Debate,1,"{'is_relevant': True, 'reason': 'The repository implements a specific application of Multi-Agent Debate involving multiple interacting agents using Large Language Models, fulfilling the criteria for relevance.'}",True,"The repository implements a specific application of Multi-Agent Debate involving multiple interacting agents using Large Language Models, fulfilling the criteria for relevance."
AmeNetwork/aser,470,31,Python,"Aser is a lightweight, self-assembling AI Agent frame.","a2a-protocol, agent, agents, ai, ai-agent, ai-memory, aser, erc8004, llm, mcp, multi-agent, onchain-ai, rag, self-evolving-ai, text2sql, web3, workflow",2025-12-09T02:59:42Z,MIT,https://github.com/AmeNetwork/aser,2,"{'is_relevant': True, 'reason': 'The repository implements a lightweight AI Agent framework that could support multi-agent interactions, leveraging LLMs in its design. It fits the criteria for relevance as it is not merely a framework or tool but aims to facilitate applications with multiple interacting agents.'}",True,"The repository implements a lightweight AI Agent framework that could support multi-agent interactions, leveraging LLMs in its design. It fits the criteria for relevance as it is not merely a framework or tool but aims to facilitate applications with multiple interacting agents."
CopilotKit/open-multi-agent-canvas,464,70,TypeScript,The open-source multi-agent chat interface that lets you manage multiple agents in one dynamic conversation and add MCP servers for deep research,"ai-agents, copilotkit, mcp-client, multi-agent, open-canvas, python, typescript",2025-12-10T08:16:44Z,,https://github.com/CopilotKit/open-multi-agent-canvas,1,"{'is_relevant': True, 'reason': 'The repository implements a specific application for managing multiple agents in dynamic conversations, which indicates it leverages multi-agent interactions rather than just being a framework or tool.'}",True,"The repository implements a specific application for managing multiple agents in dynamic conversations, which indicates it leverages multi-agent interactions rather than just being a framework or tool."
TheAgenticAI/CortexON,448,76,Python,Open-source generalized AI agent for everyday task automations.,"ai-agents, automation, genai, llm, multi-agent, reasoning, reasoning-agent",2025-11-22T19:48:36Z,NOASSERTION,https://github.com/TheAgenticAI/CortexON,1,"{'is_relevant': True, 'reason': 'The repository implements a generalized AI agent for everyday task automations, which suggests the presence of multiple interacting agents working together, leveraging LLMs for reasoning and automation purposes.'}",True,"The repository implements a generalized AI agent for everyday task automations, which suggests the presence of multiple interacting agents working together, leveraging LLMs for reasoning and automation purposes."
aws-samples/bedrock-engineer,437,58,TypeScript,"Universal AI Agent using Amazon Bedrock, capable of customize to create/edit files, execute commands, search the web, use knowledge base, use multi-agents, generative images and more.","agent, ai, aws, bedrock, claude, deepseek-r1, generative-ai, llm, rag",2025-12-09T04:16:46Z,MIT-0,https://github.com/aws-samples/bedrock-engineer,3,"{'is_relevant': True, 'reason': 'The repository implements a universal AI agent capable of utilizing multiple agents for various tasks, aligning with the criteria for a Multi-Agent System leveraging LLMs.'}",True,"The repository implements a universal AI agent capable of utilizing multiple agents for various tasks, aligning with the criteria for a Multi-Agent System leveraging LLMs."
Azure-Samples/contoso-creative-writer,410,1712,Bicep,A creative writing multi-agent solution to help users write articles.,"agents, ai-azd-templates, azd-templates, azure, azure-ai-agent-service, azure-ai-search, azureopenai, bing, chatgpt, openai",2025-12-09T20:38:58Z,MIT,https://github.com/Azure-Samples/contoso-creative-writer,1,"{'is_relevant': True, 'reason': 'The repository implements a specific application involving multiple interacting agents designed to assist users in writing articles, qualifying it as a Multi-Agent System (MAS) leveraging LLMs.'}",True,"The repository implements a specific application involving multiple interacting agents designed to assist users in writing articles, qualifying it as a Multi-Agent System (MAS) leveraging LLMs."
Westlake-AGI-Lab/Auto-Slides,398,44,Python,Official implementation of Auto-Slides: Automatic Academic Presentation Generation with Multi-Agent Collaboration,,2025-12-11T15:12:05Z,NOASSERTION,https://github.com/Westlake-AGI-Lab/Auto-Slides,3,"{'is_relevant': True, 'reason': 'The repository implements a specific application for automatic academic presentation generation using multi-agent collaboration, fulfilling the criteria for relevance.'}",True,"The repository implements a specific application for automatic academic presentation generation using multi-agent collaboration, fulfilling the criteria for relevance."
BrowserOperator/browser-operator-core,343,53,TypeScript,"Browser Operator - The AI browser with built in Multi-Agent platform! Open source alternative to ChatGPT Atlas, Perplexity Comet, Dia and Microsoft CoPilot Edge Browser","agent-browser, agent-workflow, agentic-ai, agentic-browser, agentic-framework, agentic-workflow, agents, ai-browser, browser-operator, computer-use, langgraph, llamacpp, llm, mcp, mcp-client, ollama, open-operator, openai, operator",2025-12-11T14:49:48Z,BSD-3-Clause,https://github.com/BrowserOperator/browser-operator-core,1,"{'is_relevant': True, 'reason': 'The repository implements a specific application involving multiple interacting agents, as indicated by its description of being an AI browser with a built-in Multi-Agent platform.'}",True,"The repository implements a specific application involving multiple interacting agents, as indicated by its description of being an AI browser with a built-in Multi-Agent platform."
mingyin1/Agents_Failure_Attribution,337,19,Python,🏆 ICML 2025 Spotlight,"agent, autogen, llm, multi-agent, multiagent-systems",2025-12-10T13:50:49Z,MIT,https://github.com/mingyin1/Agents_Failure_Attribution,2,"{'is_relevant': True, 'reason': 'The repository implements a specific application involving multiple interacting agents in the context of LLMs, as indicated by its description and topics.'}",True,"The repository implements a specific application involving multiple interacting agents in the context of LLMs, as indicated by its description and topics."
dragon1086/prism-insight,332,127,Python,AI-based stock analysis and trading system,"ai, llm, mcp, multi-agent, stock",2025-12-11T14:18:38Z,AGPL-3.0,https://github.com/dragon1086/prism-insight,1,"{'is_relevant': True, 'reason': ""The repository 'dragon1086/prism-insight' implements an AI-based stock analysis and trading system using multiple interacting agents, which aligns with the criteria for a specific application involving Multi-Agent Systems (MAS) leveraging LLMs.""}",True,"The repository 'dragon1086/prism-insight' implements an AI-based stock analysis and trading system using multiple interacting agents, which aligns with the criteria for a specific application involving Multi-Agent Systems (MAS) leveraging LLMs."
adamwlarson/ai-book-writer,329,119,Python,Experimenting with AutoGen to see if an entire book can be written with AI agents,,2025-12-09T23:04:14Z,,https://github.com/adamwlarson/ai-book-writer,3,"{'is_relevant': True, 'reason': 'The repository experiments with AutoGen to potentially implement a system where AI agents cooperate to write a book, which aligns with the criteria of using multiple interacting agents in a specific application.'}",True,"The repository experiments with AutoGen to potentially implement a system where AI agents cooperate to write a book, which aligns with the criteria of using multiple interacting agents in a specific application."
thunlp/ChatEval,312,28,Python,"Codes for our paper ""ChatEval: Towards Better LLM-based Evaluators through Multi-Agent Debate""",,2025-12-10T11:15:03Z,Apache-2.0,https://github.com/thunlp/ChatEval,1,"{'is_relevant': True, 'reason': 'The repository implements ChatEval, which appears to be a specific application aimed at evaluating LLMs using a multi-agent debate approach, thus fitting the criteria for a Multi-Agent System leveraging LLMs.'}",True,"The repository implements ChatEval, which appears to be a specific application aimed at evaluating LLMs using a multi-agent debate approach, thus fitting the criteria for a Multi-Agent System leveraging LLMs."
agiresearch/WarAgent,301,41,Python,WarAgent: LLM-based Multi-Agent Simulation of World Wars,,2025-12-08T07:23:57Z,Apache-2.0,https://github.com/agiresearch/WarAgent,3,"{'is_relevant': True, 'reason': 'The repository implements a multi-agent simulation specifically involving interactions among agents in the context of world wars, leveraging LLMs.'}",True,"The repository implements a multi-agent simulation specifically involving interactions among agents in the context of world wars, leveraging LLMs."
lechmazur/elimination_game,293,10,,"A multi-player tournament benchmark that tests LLMs in social reasoning, strategy, and deception. Players engage in public and private conversations, form alliances, and vote to eliminate each other","benchmark, claude-3-7-sonnet, deepseek-r1, eval, game, gpt-4-5, llm, multi-agent, o3-mini, strategy-game",2025-11-13T19:59:16Z,,https://github.com/lechmazur/elimination_game,2,"{'is_relevant': True, 'reason': 'The repository implements a multi-player tournament that involves interactions among multiple agents, fitting the criteria for a specific application involving multiple interacting agents.'}",True,"The repository implements a multi-player tournament that involves interactions among multiple agents, fitting the criteria for a specific application involving multiple interacting agents."
victordibia/designing-multiagent-systems,281,80,Python,Building LLM-Enabled Multi Agent Applications from Scratch,"agents, autogen, generative-ai, large-language-models, multiagent-systems",2025-12-11T18:32:16Z,Apache-2.0,https://github.com/victordibia/designing-multiagent-systems,3,"{'is_relevant': True, 'reason': 'The repository focuses on building LLM-Enabled Multi Agent Applications from scratch, implying it implements a specific application involving multiple interacting agents rather than merely serving as a framework or tool.'}",True,"The repository focuses on building LLM-Enabled Multi Agent Applications from scratch, implying it implements a specific application involving multiple interacting agents rather than merely serving as a framework or tool."
evalops/cognitive-dissonance-dspy,270,20,Python,A multi-agent LLM system for detecting and resolving cognitive dissonance.,,2025-12-08T21:52:50Z,,https://github.com/evalops/cognitive-dissonance-dspy,3,"{'is_relevant': True, 'reason': 'The repository implements a multi-agent system specifically designed for detecting and resolving cognitive dissonance, which involves multiple interacting agents.'}",True,"The repository implements a multi-agent system specifically designed for detecting and resolving cognitive dissonance, which involves multiple interacting agents."
showlab/MovieAgent,265,36,Python,MovieAgent: Automated Movie Generation via Multi-Agent CoT Planning,,2025-12-11T04:33:33Z,,https://github.com/showlab/MovieAgent,2,"{'is_relevant': True, 'reason': 'The repository implements an automated movie generation application using multiple interacting agents, focusing on a specific application of Multi-Agent Systems with LLMs.'}",True,"The repository implements an automated movie generation application using multiple interacting agents, focusing on a specific application of Multi-Agent Systems with LLMs."
MODSetter/gpt-instagram,243,25,TypeScript,A GPT-based autonomous multi-agent AI in Next.js that research & recommends Instagram Viral Posts reflecting your personality.,"agents, ai, dalle, gpt, langchain, langchain-js, langgraph, langgraph-js, multi-agent-systems, nextjs, nextjs14",2025-12-11T00:32:03Z,MIT,https://github.com/MODSetter/gpt-instagram,1,"{'is_relevant': True, 'reason': 'The repository implements a specific application (GPT-based autonomous multi-agent AI) involving multiple interacting agents, which aligns with the criteria for relevance.'}",True,"The repository implements a specific application (GPT-based autonomous multi-agent AI) involving multiple interacting agents, which aligns with the criteria for relevance."
global-agent-hackathon/global-agent-hackathon-may-2025,240,98,,"A month-long, open-source AI Agent Hackathon — open to all builders and dreamers working on agents, RAG, tool use, and multi-agent systems.","agents, ai, llms, multi-agent-systems, rag",2025-11-27T08:28:23Z,,https://github.com/global-agent-hackathon/global-agent-hackathon-may-2025,3,"{'is_relevant': True, 'reason': 'The repository focuses on a month-long open-source AI Agent Hackathon aimed at builders and dreamers working on agents, RAG, tool use, and multi-agent systems, indicating that it contains specific applications involving multiple interacting agents utilizing LLMs.'}",True,"The repository focuses on a month-long open-source AI Agent Hackathon aimed at builders and dreamers working on agents, RAG, tool use, and multi-agent systems, indicating that it contains specific applications involving multiple interacting agents utilizing LLMs."
FareedKhan-dev/Multi-Agent-AI-System,239,59,Jupyter Notebook,Building a Multi-Agent AI System with LangGraph and LangSmith,"ai-agents, langchain, langgraph, langsmith, multi-agent-systems, openai",2025-12-09T04:48:04Z,MIT,https://github.com/FareedKhan-dev/Multi-Agent-AI-System,3,"{'is_relevant': True, 'reason': 'The repository is specifically focused on building a Multi-Agent AI System using LangGraph and LangSmith, which directly involves multiple interacting agents in its implementation.'}",True,"The repository is specifically focused on building a Multi-Agent AI System using LangGraph and LangSmith, which directly involves multiple interacting agents in its implementation."
Xtra-Computing/MegaAgent,233,30,Python,[ACL 2025 Findings] MegaAgent: A Large-Scale Autonomous LLM-based Multi-Agent System Without Predefined SOPs https://aclanthology.org/2025.findings-acl.259.pdf,,2025-12-09T02:51:08Z,,https://github.com/Xtra-Computing/MegaAgent,2,"{'is_relevant': True, 'reason': 'The repository implements a Large-Scale Autonomous LLM-based Multi-Agent System, which aligns with the criteria for relevance by showcasing multiple interacting agents in its application.'}",True,"The repository implements a Large-Scale Autonomous LLM-based Multi-Agent System, which aligns with the criteria for relevance by showcasing multiple interacting agents in its application."
HKUSTDial/DeepFund,230,36,Python,🔥[NeurIPS'25] DeepFund: Pilot for Your Next Fund Investment,"active-fund-management, agent, benchmark, financial-ai, fintech, fintech-api, information-leakage, investment, llms, multi-agent-systems, real-time-benchmarking, stock-market-evaluation",2025-12-11T05:08:39Z,MIT,https://github.com/HKUSTDial/DeepFund,3,"{'is_relevant': True, 'reason': 'The repository implements a specific application related to active fund management utilizing multiple interacting agents and LLMs, rather than being a framework or tool for building multi-agent systems.'}",True,"The repository implements a specific application related to active fund management utilizing multiple interacting agents and LLMs, rather than being a framework or tool for building multi-agent systems."
Priivacy-ai/spec-kitty,226,19,Python,"The AI Development Dashboard & Workflow Automation Platform for Spec-Driven Development. Real-time kanban tracking for multi-agent coding workflows with Claude, Cursor, Gemini, Codex and more.","agentic-coding, ai-agents, ai-coding-workflow, ai-development-dashboard, ai-progress-tracking, claude-code, code-workflow, coding-agent-orchestration, cursor-agent, development-kanban, gemini-cli, github-copilot, kanban-workflow, multi-agent-support, real-time-tracking, spec-driven-development, spec-workflow-automation, structured-development, windsurf, worktree-strategy",2025-12-11T14:48:32Z,MIT,https://github.com/Priivacy-ai/spec-kitty,1,"{'is_relevant': True, 'reason': 'The repository implements a specific application for multi-agent coding workflows, indicating an active use of multiple interacting agents in a practical context, rather than simply being a framework or tool to build such systems.'}",True,"The repository implements a specific application for multi-agent coding workflows, indicating an active use of multiple interacting agents in a practical context, rather than simply being a framework or tool to build such systems."
avivl/claude-007-agents,222,26,JavaScript," 🤖 A unified AI agent orchestration system featuring 10's of specialized agents across 14 categories for modern software development. Built with advanced coordination intelligence, resilience engineer","agent, agentic-ai, ai-agents, claude, claude-code, claudecode-subagents, sub-agents, subagents",2025-12-09T15:08:20Z,MIT,https://github.com/avivl/claude-007-agents,1,"{'is_relevant': True, 'reason': 'The repository implements a unified AI agent orchestration system featuring multiple specialized agents working across various categories, indicating a multi-agent interaction setup rather than being a framework or a tool for building such systems.'}",True,"The repository implements a unified AI agent orchestration system featuring multiple specialized agents working across various categories, indicating a multi-agent interaction setup rather than being a framework or a tool for building such systems."
autogluon/autogluon-assistant,220,47,Python,Multi-Agent System Powered by LLMs for End-to-end Multimodal ML Automation,"automl, data-science, llm, machine-learning, mlzero, multi-agent, multimodal",2025-12-11T05:18:26Z,Apache-2.0,https://github.com/autogluon/autogluon-assistant,3,"{'is_relevant': True, 'reason': 'The repository implements a specific application of a Multi-Agent System leveraging LLMs for end-to-end multimodal ML automation, which fits the criteria for relevance.'}",True,"The repository implements a specific application of a Multi-Agent System leveraging LLMs for end-to-end multimodal ML automation, which fits the criteria for relevance."
mitmedialab/MDAgents,213,30,Python,Official implementation for NeurIPS'24 paper: MDAgents: An Adaptive Collaboration of LLMs for Medical Decision-Making,,2025-12-10T12:26:30Z,,https://github.com/mitmedialab/MDAgents,1,"{'is_relevant': True, 'reason': 'The repository implements a specific application involving multiple interacting agents for medical decision-making, leveraging LLMs as described in the paper.'}",True,"The repository implements a specific application involving multiple interacting agents for medical decision-making, leveraging LLMs as described in the paper."
bernatsampera/event-deep-research,212,32,Python,AI Agent that researches the lives of historical figures and extracts events into structured JSON timelines using LangGraph multi-agent orchestration.,"ai-agent, context-engineering, deep-agent, langchain, langgraph, llm-orchestration",2025-12-11T17:29:12Z,MIT,https://github.com/bernatsampera/event-deep-research,2,"{'is_relevant': True, 'reason': 'The repository implements an AI agent specifically designed to research historical figures and extract events, which involves the interaction of multiple agents in a context that utilizes LLM orchestration.'}",True,"The repository implements an AI agent specifically designed to research historical figures and extract events, which involves the interaction of multiple agents in a context that utilizes LLM orchestration."
PurpleAILAB/Decepticon,210,38,Python,Autonomous Multi-Agent Based Red Team Testing Service,"agent, ai, cybersecurity, generative-ai, hacking, langchain, langgraph, llm, pentest, pentesting",2025-12-11T13:46:49Z,Apache-2.0,https://github.com/PurpleAILAB/Decepticon,3,"{'is_relevant': True, 'reason': 'The repository implements an Autonomous Multi-Agent Based Red Team Testing Service, indicating it involves multiple interacting agents within a specific application context, aligning with the criteria for relevance.'}",True,"The repository implements an Autonomous Multi-Agent Based Red Team Testing Service, indicating it involves multiple interacting agents within a specific application context, aligning with the criteria for relevance."
Agentfy-io/Agentfy,208,41,Python,"🤖 Agentfy is a modular microservices architecture designed to process user requests and execute workflows across multiple social media platforms.  ASK ONCE, LET THE AGENT DO THE REST!","ai-agents, ai-tools, model-context-protocol, multi-agent-systems, openai, prompt-engineering-tool, python, social-media-app, social-media-automation, tikhub, workflow-automation",2025-12-09T01:07:35Z,Apache-2.0,https://github.com/Agentfy-io/Agentfy,3,"{'is_relevant': True, 'reason': 'The repository implements a modular microservices architecture designed specifically for processing user requests and executing workflows across multiple social media platforms with the involvement of interacting agents, indicating it uses multiple agents rather than just being a framework or tool for building MAS.'}",True,"The repository implements a modular microservices architecture designed specifically for processing user requests and executing workflows across multiple social media platforms with the involvement of interacting agents, indicating it uses multiple agents rather than just being a framework or tool for building MAS."
ulab-uiuc/MARBLE,193,21,Python,(ACL 2025 Main) Code for  MultiAgentBench : Evaluating the Collaboration and Competition of LLM agents https://www.arxiv.org/pdf/2503.01935,,2025-12-10T04:51:21Z,MIT,https://github.com/ulab-uiuc/MARBLE,2,"{'is_relevant': True, 'reason': 'The repository implements a multi-agent benchmark specifically for evaluating the collaboration and competition dynamics among LLM agents, which aligns with the criteria for including projects that utilize multiple interacting agents.'}",True,"The repository implements a multi-agent benchmark specifically for evaluating the collaboration and competition dynamics among LLM agents, which aligns with the criteria for including projects that utilize multiple interacting agents."
disler/big-3-super-agent,189,76,Python,Gemini 2.5 Computer Use + OpenAI Realtime API + Claude Code Multi-Agent Experiment,,2025-12-10T11:24:55Z,,https://github.com/disler/big-3-super-agent,1,"{'is_relevant': True, 'reason': 'The repository implements a multi-agent experiment using Gemini 2.5 and OpenAI Realtime API, indicating the application of multiple interacting agents.'}",True,"The repository implements a multi-agent experiment using Gemini 2.5 and OpenAI Realtime API, indicating the application of multiple interacting agents."
MinimalFuture/AgentMesh,182,30,Python,"A Multi-Agent platform that enables AI agents to collaborate effectively, helping you build powerful agent teams for solving complex tasks.","agent, agent-collaboration, agentmesh, llm, multi-agent",2025-12-11T13:17:32Z,Apache-2.0,https://github.com/MinimalFuture/AgentMesh,2,"{'is_relevant': True, 'reason': 'The repository implements a Multi-Agent System (MAS) enabling AI agents to collaborate effectively, which aligns with the criteria for relevance.'}",True,"The repository implements a Multi-Agent System (MAS) enabling AI agents to collaborate effectively, which aligns with the criteria for relevance."
omni-georgio/deep_research-,174,20,Python,A multi-agent AI research system designed to know what it knows (and doesn't know) when conducting research and creating content.,,2025-11-26T06:45:06Z,,https://github.com/omni-georgio/deep_research-,2,"{'is_relevant': True, 'reason': 'The repository implements a multi-agent AI research system that involves multiple interacting agents, fulfilling the criteria for relevance by focusing on a specific application of multi-agent systems in research and content creation.'}",True,"The repository implements a multi-agent AI research system that involves multiple interacting agents, fulfilling the criteria for relevance by focusing on a specific application of multi-agent systems in research and content creation."
SMARTlab-Purdue/SMART-LLM,172,34,Python,Code repository for SMART-LLM: Smart Multi-Agent Robot Task Planning using Large Language Models,,2025-12-10T13:28:57Z,,https://github.com/SMARTlab-Purdue/SMART-LLM,1,"{'is_relevant': True, 'reason': 'The repository implements a specific application of multi-agent robot task planning using Large Language Models, which aligns with the criteria for relevance.'}",True,"The repository implements a specific application of multi-agent robot task planning using Large Language Models, which aligns with the criteria for relevance."
oceanbase/powermem,172,21,Python,"PowerMem: Your AI-Powered Long-Term Memory — Accurate, Agile, Affordable. ","agentic, agents, ai, ai-agents, ai-companion, chatbot, context-engineering, databases, llm, llms, long-term-memory, memory, multi-agent, vector",2025-12-11T12:53:48Z,NOASSERTION,https://github.com/oceanbase/powermem,2,"{'is_relevant': True, 'reason': 'The repository implements a specific application involving multiple agents in the context of long-term memory and AI interactions, aligning with the use of multi-agent systems leveraging LLMs.'}",True,"The repository implements a specific application involving multiple agents in the context of long-term memory and AI interactions, aligning with the use of multi-agent systems leveraging LLMs."
spiral-rl/spiral,165,19,Python,SPIRAL: Self-Play on Zero-Sum Games Incentivizes Reasoning via Multi-Agent Multi-Turn Reinforcement Learning,"large-language-models, multi-agent-reinforcement-learning, reinforcement-learning, self-play",2025-12-09T06:11:46Z,MIT,https://github.com/spiral-rl/spiral,1,"{'is_relevant': True, 'reason': 'The repository implements a multi-agent system using reinforcement learning in the context of zero-sum games, indicating a specific application involving multiple interacting agents.'}",True,"The repository implements a multi-agent system using reinforcement learning in the context of zero-sum games, indicating a specific application involving multiple interacting agents."
Terry-cyx/MetaOpenFOAM,159,20,Jupyter Notebook,MetaOpenFOAM: an LLM-based multi-agent framework for CFD,,2025-12-01T07:31:56Z,GPL-3.0,https://github.com/Terry-cyx/MetaOpenFOAM,1,"{'is_relevant': True, 'reason': 'The repository implements a multi-agent framework specifically designed for computational fluid dynamics (CFD), utilizing LLMs to facilitate interactions among multiple agents.'}",True,"The repository implements a multi-agent framework specifically designed for computational fluid dynamics (CFD), utilizing LLMs to facilitate interactions among multiple agents."
disler/indydevtools,156,26,Python,"An opinionated, Agentic Engineering toolbox powered by LLM Agents to solve problems autonomously.","agentic, agents, indydevtools, llm, multi-agent",2025-12-11T09:24:51Z,,https://github.com/disler/indydevtools,2,"{'is_relevant': True, 'reason': 'The repository implements a toolbox that leverages LLM Agents to autonomously solve problems, indicating the presence of multiple interacting agents in a specific application context.'}",True,"The repository implements a toolbox that leverages LLM Agents to autonomously solve problems, indicating the presence of multiple interacting agents in a specific application context."
muratcankoylan/readwren,151,17,Python,An adaptive multi-agent system that extracts your literary DNA through conversation and generates actionable reading profiles.,"ai, kimi-k2, langchain, langgraph, llm, moonshot, redis",2025-12-11T12:51:21Z,MIT,https://github.com/muratcankoylan/readwren,2,"{'is_relevant': True, 'reason': 'The repository implements an adaptive multi-agent system that interacts through conversation, leveraging LLMs to generate actionable reading profiles, which aligns with the criteria for relevance.'}",True,"The repository implements an adaptive multi-agent system that interacts through conversation, leveraging LLMs to generate actionable reading profiles, which aligns with the criteria for relevance."
flash131307/multi-agent-investment,146,17,Python,"An AI-powered multi-agent platform for automated investment research — combining LLM reasoning, RAG retrieval, and real-time market data to generate smart financial insights and dynamic reports.","agent, agentic-ai, financial-analysis, investment, llm, multi-agent, rag, stock-analysis",2025-12-10T08:44:04Z,MIT,https://github.com/flash131307/multi-agent-investment,2,"{'is_relevant': True, 'reason': 'The repository implements a multi-agent platform combining LLM reasoning and financial analysis, making it relevant as it involves multiple interacting agents focused on investment research.'}",True,"The repository implements a multi-agent platform combining LLM reasoning and financial analysis, making it relevant as it involves multiple interacting agents focused on investment research."
zjunlp/OneKE,146,16,HTML,[WWW 2025] A Dockerized Schema-Guided LLM Agent-based Knowledge Extraction System.,"agent, agents, artificial-intelligence, event-extraction, information-extraction, knowledge-extraction, knowledge-graph, large-language-models, multi-agent, named-entity-recognition, natural-language-processing, ner, oneke, openie, relation-extraction, schema",2025-12-11T10:59:55Z,MIT,https://github.com/zjunlp/OneKE,2,"{'is_relevant': True, 'reason': 'The repository implements a knowledge extraction system using a Multi-Agent approach leveraging LLMs, indicating specific applications involving multiple interacting agents.'}",True,"The repository implements a knowledge extraction system using a Multi-Agent approach leveraging LLMs, indicating specific applications involving multiple interacting agents."
NKAI-Decision-Team/LLM-PySC2,143,14,Python,LLM-PySC2 is NKAI Decision Team and NUDT Decision Team's Python component of the StarCraft II LLM Decision Environment. It exposes Deepmind's PySC2 Learning Environment API as a Python LLM Environment,"environment, llm, llm-agent, llm-pysc2, multi-agent, pysc2, smac, starcraft2",2025-12-03T22:24:19Z,Apache-2.0,https://github.com/NKAI-Decision-Team/LLM-PySC2,2,"{'is_relevant': True, 'reason': 'The repository implements the Python component of the StarCraft II LLM Decision Environment, which showcases a multi-agent setup by utilizing LLMs to interact within the PySC2 environment.'}",True,"The repository implements the Python component of the StarCraft II LLM Decision Environment, which showcases a multi-agent setup by utilizing LLMs to interact within the PySC2 environment."
Azure-Samples/agent-openai-java-banking-assistant,136,86,Java,Multi-agent banking assistant with Java and Langchain4j,"agent, ai-azd-templates, azd-templates, azure, gpt-4o, gpt-4o-mini, java, openai",2025-12-11T09:38:24Z,MIT,https://github.com/Azure-Samples/agent-openai-java-banking-assistant,1,"{'is_relevant': True, 'reason': 'The repository implements a Multi-Agent System (MAS) specifically for a banking assistant using Java and Langchain4j, fitting the criteria for relevant implementations involving multiple interacting agents.'}",True,"The repository implements a Multi-Agent System (MAS) specifically for a banking assistant using Java and Langchain4j, fitting the criteria for relevant implementations involving multiple interacting agents."
FareedKhan-dev/best-llm-finder-pipeline,125,23,Jupyter Notebook,"Agentic RAG, Multi-Agent Systems, and Vision Reasoning are three pipelines to find the perfect LLM","artificial-intelligence, huggingface, llm, multi-agent-systems, openai, pipeline, rag, vision",2025-12-08T10:16:15Z,MIT,https://github.com/FareedKhan-dev/best-llm-finder-pipeline,1,"{'is_relevant': True, 'reason': 'The repository implements a Multi-Agent System that uses LLMs to create agents capable of working together in a specific application context, which aligns with the criteria for relevance.'}",True,"The repository implements a Multi-Agent System that uses LLMs to create agents capable of working together in a specific application context, which aligns with the criteria for relevance."
NYU-LLM-CTF/nyuctf_agents,110,27,Python,The D-CIPHER and NYU CTF baseline LLM Agents built for NYU CTF Bench,"agentic-ai, agents, capture-the-flag, ctf, cybersecurity, llm, llmagents",2025-12-09T19:14:27Z,MIT,https://github.com/NYU-LLM-CTF/nyuctf_agents,1,"{'is_relevant': True, 'reason': 'The repository implements D-CIPHER and NYU CTF baseline LLM Agents for the NYU CTF Bench, indicating a specific application using multiple interacting agents in the context of cybersecurity and capture-the-flag events.'}",True,"The repository implements D-CIPHER and NYU CTF baseline LLM Agents for the NYU CTF Bench, indicating a specific application using multiple interacting agents in the context of cybersecurity and capture-the-flag events."
